poi_id,name,region,locality,address,postcode,longitude,latitude,category_level1,category_level2,category_level3,business_status,phone,website_domain,rating,rating_count,traffic_score,time_spent,update_month
246d4203f7b6b8ff265bf4fc9a6a34e0,Miniso Dolmen MALL (Clifton),Sindh,Karachi,"The Harbour Front, Dolmen City, Marine Drive, Block 4 Clifton, Karachi, 74600, Pakistan",74600.0,67.02660555,24.80230516,Retail & Shopping,Shopping Centers,Outlet mall,Open,+92 21 35297854,miniso.pk,4.4,64.0,43.29,People typically spend up to 45 min here,03-2025
285b71060afda68ec21722b72e507178,Andaaz boutique,Pakistan,Jhelum,"Sarafa Bazar, Jhelum, 49600, Pakistan",49600.0,73.7304881,32.92804461,Retail & Shopping,Fashion & Accessories,Clothing store,Open,+92 322 7978748,andaazboutique.store,3.7,42.0,57.17,People typically spend up to 45 min here,03-2025
574c66ee58de393f6861f7efd6fcfe0b,Dolmen Mall Tariq Road,UC-7 P.e.c.h.s 2,Karachi,"Tariq Rd, Delhi Society Delhi CHS Karachi, 75400, Pakistan",75400.0,67.0600541,24.87664077,Retail & Shopping,Shopping Centers,Shopping mall,Open,+92 21 111 362 111,tariqroad.dolmenmalls.com,4.4,14320.0,53.14,People typically spend up to 2 hours here,03-2025
8a8ef26b2cd5c1541defe2601f720b9c,The North Walk - Retail Experience Redefined,UC-4 Hyderi,Karachi,"D-2, near Green Line Bus Service Station Hyderi, Block C North Nazimabad Town, Karachi, 74600, Pakistan",74600.0,67.03590957,24.93334036,Retail & Shopping,Shopping Centers,Shopping mall,Open,+92 21 36609255,thenorthwalk.com,4.3,1959.0,43.71,People typically spend up to 1.5 hours here,03-2025
9af42e983482ca47624ccd1a271b6354,Allah Walay Hardware Store - Toolstation,Pakistan,Jhelum,"Raam seen bazar, 49600, Pakistan",49600.0,73.72965411,32.92670251,Retail & Shopping,Construction & Hardware,Hardware store,Open,+92 544 620534,toolstation.com.pk,4.1,153.0,52.0,People typically spend up to 30 min here,03-2025
6d3333198f6aa1932fec3a1c9154f1f8,Ameer Alam Super Store,Pakistan,Lahore,"Shop # 2 junaid road, College Road, Lahore, 54770, Pakistan",54770.0,74.28354961,31.43090074,Retail & Shopping,Market & Grocers,Grocery store,Open,+92 336 4170861,libpak.pk,4.2,198.0,63.86,People typically spend up to 2.5 hours here,03-2025
7538b018de0cafcbb42b55f586e423fc,Sufi Auto Corporation,Pakistan,Faisalabad,"Street 1, Gurunanakpura, Faisalabad, 38000, Pakistan",38000.0,73.0625263,31.41435543,Retail & Shopping,Auto & Vehicle Retail,Honda dealer,Open,+92 311 1786000,facebook.com,4.3,705.0,60.33,People typically spend up to 1 hour here,03-2025
3d6117795d4c948bb3f1df22473313d1,Hafeez Center,Pakistan,Lahore,"Ground Floor، Hafeez Center, Block E1 Block E 1 Gulberg III, Lahore, 54000, Pakistan",54000.0,74.34080598,31.51609759,Retail & Shopping,Computers & Electronics,Cell phone store,Open,+92 333 8370637,facebook.com,4.3,11842.0,58.33,People typically spend up to 1.5 hours here,03-2025
6885c265c9b6322410670aac72350fb2,Moon Shopping Mall,Wah Cantt,Wah Cantt,"Main GT Rd, near New City Phase 1, New City Wah Cantt, Wah Cantt, 47040, Pakistan",47040.0,72.75540421,33.75367658,Retail & Shopping,Shopping Centers,Shopping mall,Open,+92 311 3105667,facebook.com,4.1,972.0,21.86,People typically spend up to 30 min here,03-2025
c80527755131c61bbfc597ad5dd11469,Clinix,Punjab,Lahore,"Abul Hassan Isfahani Rd, Block D Faisal Town, Lahore, 54770, Pakistan",54770.0,74.30496311,31.46813877,Retail & Shopping,Drug & Pharma,Pharmacy,Open,+92 42 35173535,clinix.com.pk,4.2,88.0,41.43,People typically spend up to 10 min here,03-2025
7fab6cd6a757e583d1f70fe42348d466,Clinix Pharmacy,Zeenat Block,Lahore,"153-E Multan Rd, Zeenat Block Allama Iqbal Town, Lahore, 54000, Pakistan",54000.0,74.2786875,31.52140239,Retail & Shopping,Drug & Pharma,Pharmacy,Open,+92 42 37809519,clinix.com.pk,4.2,239.0,63.57,People typically spend up to 30 min here,03-2025
14198a18183eabc4065ee1f5f4d19e70,Pakistan Electronics,Punjab,Gujranwala,"Crescent Market Near Railway Station G T Road, Station Rd، opp. Sangam Cinema, Civil Lines, Gujranwala, 52250, Pakistan",52250.0,74.18331258,32.17558442,Retail & Shopping,Computers & Electronics,Electronics store,Open,+92 55 3856969,pakistanelectronics.com,4.3,110.0,52.5,People typically spend up to 1 hour here,03-2025
